Vorstadt;id;Latitude;Longitude
Neu Lerchenfeld;0;48.2105412;16.3373107
Hernals;1;48.2169504;16.3390509
Währing;2;48.226211;16.3455163
Rossau;3;48.2227713;16.3632244
Lichtenthal;4;48.2273841;16.358189
Thury;5;48.2255121;16.3571305
Währingergasse;6;48.2188107;16.3577116
Alstergasse;7;48.2148438;16.3521995
Josephstadt;8;48.2105157;16.3516807
Lerchenfeld;9;48.207577;16.3443487
St. Ulrich;10;48.2045904;16.3525582
Spittelberg;11;48.2032338;16.3557981
Leimgrube;12;48.2010768;16.3591883
Auf der Wien;13;48.1987514;16.3636241
Kothgasse;14;48.1999622;16.3632659
Auf der Wieden;15;48.1964021;16.3674472
Gundendorf;16;48.1922448;16.3485534
Im Schiff;17;48.2001902;16.3553733
Hundsthurm;18;48.1876106;16.3471687
Nikolsdorf;19;48.1877335;16.3617004
Matzleinsdorf;20;48.1853857;16.3627604
Rennweg;21;48.1963251;16.3817606
Ungargasse;22;48.2008703;16.3874324
Landstraße;23;48.2035881;16.3891048
Erdberg;24;48.1965149;16.4042731
Weisgärber;25;48.2120425;16.389879
Leopoldstadt;26;48.2173208;16.380816
Meidling;27;48.1823806;16.3303993
Döbling;28;48.2421813;16.3547206
Nussdorf;29;48.2590495;16.3629774
Prater;30;48.2179755;16.3928361
Auf der Windmühle;31;48.1988088;16.3565893
Neubau;32;48.2030718;16.3490341
Neustift;32;48.2054233;16.3492659
St. Marx;33;48.1883064;16.4010226
Mariahilf;34;48.1992876;16.3526022
Spittelau;35;48.2369128;16.3563841
