ID;primary_label;Latitude;Longitude;citation_lucienfeld_harrer;URI_wien_wiki;URI_lucienfeld_harrer;adress_today;adress_1822;adress_suttingerstadtplan;district;alternative_label
1;Ksl. Burg;48.2070838;16.3658979;;https://www.geschichtewiki.wien.gv.at/index.php?title=Hofburg&oldid=814986;;Michaelerplatz 1;1;;Widmerviertel;"Burg, in der Kanzlei;Burg, Geheime Kanzlei;Burg;Burg, ksl. (Reichshofkanzlei);Burg, ksl.;Burg, bei der Kanzlei;Burg, ksl. (bei der Kanzlei);Burg, im Amt;ksl. (Reichshofkanzlei)"
2;Ksl. Hofspital;48.2084775;16.3646963;;https://www.geschichtewiki.wien.gv.at/index.php?title=Hofspital&oldid=803150;;Schauflergasse 8;;;Schottenviertel;"Kaiserspital;Hofspital, ksl. (OÖ geh. Hofkanzlei);ksl. Hofspital, im Amt"
3;Herrengasse, Dietrichsteinisches Haus;48.2090966;16.3658795;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 99. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_7&oldid=510528;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294234;Herrengasse 7;27;;Schottenviertel;Herrengasse, Dietrichsteinsches Haus, des jungen Herrn Grafen
4;Herrengasse, Mollardisches Haus;48.2094076;16.3657288;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 102. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Clary-Mollard-Palais&oldid=803806;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294237;Herrengasse 9;28;;Schottenviertel;"Herrengasse, Mollardisches Haus;Herrengasse, Molardisches Haus;Herrengasse, Mollartsches Haus"
5;Herrengasse, Trautsonisches Haus;48.2096481;16.3655273;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 103. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_11&oldid=510512;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294238;Herrengasse 11;29;;Schottenviertel;Herrengasse, Trautsohnisches Haus
6;Landhaus;48.2100989;16.3651365;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 104. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Nieder%C3%B6sterreichisches_Landhaus&oldid=807840;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294239;Herrengasse 13;30;;Schottenviertel;"Herrengasse, beim Landhaus;Landhaus"
7;Herrengasse, Zum schwarzen Tor;48.2106263;16.3648475;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 116. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_17&oldid=798181;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294251;Herrengasse 17;35;;Schottenviertel;"Schwarzes Tor;Schwarzes Tor, nächst dem, eH;Schwarzes Tor, beim, eH;neben schwarzem Tor, eH"
8;Spanisches Haus;48.2101711;16.3625421;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 197. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bankgasse_10&oldid=510016;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294332;Bankgasse 10;45;;Schottenviertel;"Spanisches Haus;beim Spanischen Haus, eH;span. Botschafter, nächst, eH"
9;Rosengasse, Seizisches Haus;48.2111245;16.3630096;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 120. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Schenkenstra%C3%9Fe_8-10&oldid=511079;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294319;Rosengasse 1;53;Caspar Seiz Trabandt;Schottenviertel;"Rosengasse, Seitz, Kaspar Haus;Rosengasse, Seiz, Caspar, Haus;Rosengasse, Seizsches Haus, eH"
10;Ksl. Hofzahlamt;48.2109296;16.3646102;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 172. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_19&oldid=510617;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294255;Herrengasse 19;59;k.k. majestät. Hochbefreites general Hoff Zahl Ambt;Schottenviertel;"Herrengasse, Hofzahlamt;Herrengasse, Kammerhaus, ksl."
11;Rosengasse, Studlerisches Haus;48.2112568;16.3631811;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 184. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kinskypalais&oldid=803214;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294319;Rosengasse 8;62;Martin Studler;Schottenviertel;Rosengasse, Scheidler/Schindler/Sündler, Martin, Haus
12;Teinfaltstraße, Statthalterisches Haus;48.2116459;16.3633527;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 158. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Teinfaltstra%C3%9Fe_3&oldid=511222;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294293;Teinfaltstraße 3;64;;Schottenviertel;Teinfaltstraße, Statthalterisches Haus [Jörger]
13;Ksl. Reitstall;48.2115852;16.3625775;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 172. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Teinfaltstra%C3%9Fe_8-8A&oldid=511279;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294307;Teinfaltstraße 8-8a;74;;Schottenviertel;"Reitstall, beim ksl., eH;Teinfaltstraße, beim Klepperschmied"
14;Schottenhof;48.2126633;16.3640295;;https://www.geschichtewiki.wien.gv.at/index.php?title=Schottenhof_(1,_Freyung_6)&oldid=282956;;Freyung 6;136;;Schottenviertel;Schottenhof
15;Hohe Brücke, Gärberisches Haus;48.2130101;16.3682345;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 626. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_28&oldid=511240;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282102;Wipplingerstraße 28;143;;Schottenviertel;Hohe Brücke, an der, Gärbisches Haus
16;Hohe Brücke, Rosenbergisches Haus;48.2128743;16.3680533;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 543. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_25&oldid=511271;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282019;Wipplingerstraße 25;146;;Schottenviertel;"Hohe Brücke, Rosenbergerisches Haus;Hohe Brücke, Rosenbergisches Haus"
