ID;primäres_Label_viecpro;field_3;kind;Latitude;Longitude;notes;references_p_lucienfeld_harrer;URI_wien_wiki;URI_p_lucienfeld_harrer;alternatives_label_adress_neu;alternatives_label_adress1822;alternatives_label_suttingerstadtplan;alternatives_Label_Datensammlung;alternatives_Label_Feld;Stadtviertel;ist_Teil_von;GeoNames_Link;Access_Excel_Zitierweise
1;Ksl. Burg;Ksl. Burg;Wohnadresse;48.2070838;16.3658979;;;https://www.geschichtewiki.wien.gv.at/index.php?title=Hofburg&oldid=814986;;Michaelerplatz 1;1;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Burg, in der Kanzlei;Burg, Geheime Kanzlei;Burg;Burg, ksl. (Reichshofkanzlei);Burg, ksl.;Burg, bei der Kanzlei;Burg, ksl. (bei der Kanzlei);Burg, im Amt;ksl. (Reichshofkanzlei)"
2;Ksl. Hofspital;Ksl. Hofspital;Wohnadresse;48.2084775;16.3646963;;;https://www.geschichtewiki.wien.gv.at/index.php?title=Hofspital&oldid=803150;;Schauflergasse 8;;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Kaiserspital;Hofspital, ksl. (OÖ geh. Hofkanzlei);ksl. Hofspital, im Amt"
3;Herrengasse, Dietrichsteinisches Haus;Herrengasse, Dietrichsteinisches Haus;Wohnadresse;48.2090966;16.3658795;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 99. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_7&oldid=510528;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294234;Herrengasse 7;27;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Herrengasse, Dietrichsteinsches Haus, des jungen Herrn Grafen
4;Herrengasse, Mollardisches Haus;Herrengasse, Mollardisches Haus;Wohnadresse;48.2094076;16.3657288;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 102. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Clary-Mollard-Palais&oldid=803806;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294237;Herrengasse 9;28;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Herrengasse, Mollardisches Haus;Herrengasse, Molardisches Haus;Herrengasse, Mollartsches Haus"
5;Herrengasse, Trautsonisches Haus;Herrengasse, Trautsonisches Haus;Wohnadresse;48.2096481;16.3655273;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 103. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_11&oldid=510512;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294238;Herrengasse 11;29;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Herrengasse, Trautsohnisches Haus
6;Landhaus;Landhaus;Wohnadresse;48.2100989;16.3651365;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 104. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Nieder%C3%B6sterreichisches_Landhaus&oldid=807840;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294239;Herrengasse 13;30;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Herrengasse, beim Landhaus;Landhaus"
7;Herrengasse, Zum schwarzen Tor;Herrengasse, Zum schwarzen Tor;Wohnadresse;48.2106263;16.3648475;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 116. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_17&oldid=798181;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294251;Herrengasse 17;35;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Schwarzes Tor;Schwarzes Tor, nächst dem, eH;Schwarzes Tor, beim, eH;neben schwarzem Tor, eH"
8;Spanisches Haus;Spanisches Haus;Wohnadresse;48.2101711;16.3625421;ab 1614 im Besitz des spanischen Botschafters;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 197. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bankgasse_10&oldid=510016;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294332;Bankgasse 10;45;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Spanisches Haus;beim Spanischen Haus, eH;span. Botschafter, nächst, eH"
9;Rosengasse, Seizisches Haus;"Rosengasse, Seizisches Haus;Rosengasse, Lamottisches Haus";Wohnadresse;48.2111245;16.3630096;"ab 1668 Caspar Seiz, kgl. Leibtrabant; danach Hubert Lamotte, kgl. Hartschier und Rottmeister";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 120. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Schenkenstra%C3%9Fe_8-10&oldid=511079;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294319;Rosengasse 1;53;Caspar Seiz Trabandt;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Rosengasse, Seitz, Kaspar Haus;Rosengasse, Seiz, Caspar, Haus;Rosengasse, Seizsches Haus, eH"
10;Ksl. Hofzahlamt;Ksl. Hofzahlamt;Wohnadresse;48.2109296;16.3646102;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 7,1, Wien: Selbstverlag, 1957, S. 172. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Herrengasse_19&oldid=510617;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2294255;Herrengasse 19;59;k.k. majestät. Hochbefreites general Hoff Zahl Ambt;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Herrengasse, Hofzahlamt;Herrengasse, Kammerhaus, ksl."
